,real,pred
0,8.174189567565918,8.202582693463638
1,8.174189567565918,8.176774388256412
2,8.119939804077147,8.169716700847427
3,7.58101987838745,8.11400560291346
4,7.584640026092528,7.607044261626498
5,7.751009941101074,7.610369580761963
6,7.765480041503906,7.760736580132585
7,8.040360450744629,7.752069527278872
8,7.732930183410644,8.024030009832124
9,8.203120231628418,7.725229883462765
10,8.347800254821777,8.18660642958792
11,8.025899887084961,8.331892797612097
12,7.975259780883788,8.010504043038946
13,7.924620151519775,7.97665935407312
14,7.8667497634887695,7.93779062380993
15,7.848670005798339,7.864810312323611
16,7.682290077209472,7.845252796902282
17,7.729310035705566,7.684654017328725
18,8.166959762573242,7.726462080124908
19,8.029509544372559,8.151139947974162
20,7.9571800231933585,8.013576100891996
21,7.798029899597168,7.942790593298224
22,7.9571800231933585,7.8077274960690906
23,8.058449745178223,7.9513811132637775
24,7.996960163116455,8.046739319062853
25,8.119939804077147,7.983057038662584
26,7.993340015411378,8.106668149137366
27,7.794419765472412,7.9872234565135365
28,7.852290153503418,7.794644742234201
29,8.011429786682129,7.855926173647677
30,8.119939804077147,8.00226028187706
31,8.119939804077147,8.104099061557239
32,8.358650207519531,8.104777531848976
33,8.427370071411133,8.34235294566104
34,8.355030059814451,8.411366686011348
35,8.416520118713379,8.340112344339468
36,8.626299858093263,8.405684639628294
37,8.615449905395508,8.611687351755386
38,8.463540077209473,8.599803126087515
39,8.55757999420166,8.45298145510977
40,8.28993034362793,8.551020118377501
41,8.098230361938478,8.29653747795486
42,8.156109809875487,8.107475221193628
43,8.387590408325195,8.167636331948078
44,8.336950302124022,8.375644661950876
45,8.333330154418945,8.32199361362394
46,8.373120307922362,8.31952604529303
47,8.257379531860353,8.36472760799639
48,8.246529579162598,8.251609615807272
49,8.065679550170897,8.241068378740968
50,8.250140190124513,8.071427758045996
51,8.52140998840332,8.241620855744516
52,8.553959846496582,8.505687081574669
53,8.391200065612793,8.537043701226107
54,8.463540077209473,8.378142091943044
55,8.474390029907228,8.45667099998651
56,8.452690124511719,8.468376959133254
57,8.264610290527344,8.441702407167062
58,8.163339614868164,8.264269675972692
59,8.195890426635742,8.169213673856966
60,7.989729881286621,8.198652142553245
61,8.101849555969237,7.993670561718085
62,8.040360450744629,8.095498566570157
63,8.101849555969237,8.03811935231198
64,7.960790157318115,8.08981279516542
65,7.262730121612549,7.95794280377043
66,7.1506099700927725,7.305188708689575
67,7.280819892883301,7.210908409937085
68,7.0854997634887695,7.314308734901113
69,7.291669845581055,7.08496105889016
70,7.212090015411378,7.279646761618101
71,7.179540157318115,7.206701294105985
72,7.2844300270080575,7.1688088190739965
73,7.29527997970581,7.276696389259694
